COLLAT_claimTVL,COLLAT_finalTVL,PREM_claimTVL,PREM_finalTVL,begin_time,collateral_assets,collateral_emissions,collateral_payoff,end_time,epochBegin,epochEnd,epoch_type,full_name,hedge_ratio,name,nextepochBegin,nextepochEnd,premium,premium_assets,premium_emissions,premium_payoff,strike,total_assets,total_emissions,underlyingAssetprice,underlyingAssetsymbol,underlyingAssetvalue,total_value_locked
418.4562965815973,411.7077275041598,0.0,6.748569077437508,2022-12-07 00:00:00,411.70772750415983,4467.0000000005,6.748569077437537,2022-12-12 00:00:00,2022-12-07 00:00:00,1670803200,weekly,y2kDAI_996* v1 weekly,0.0163916502572066,y2kDAI_996*,1670976000,1671408000,0xeaf26d31199771af31dc637843b706078823a3da,6.748569077437506,8880.0000000005,-6.748569077437508,0.996,418.4562965815973,13347.000000001,1241.7338541666663,WETH,519611.3499545764,418.4562965815973
253.29737376742975,244.41670538771075,0.0,8.880668379718985,2022-12-07 00:00:00,244.41670538771075,4467.0000000005,8.880668379718998,2022-12-12 00:00:00,2022-12-07 00:00:00,1670803200,weekly,y2kMIM_975* v1 weekly,0.036334130130883845,y2kMIM_975*,1670976000,1671408000,0xcf86eea7d168f71c15917ad5a46279f1d6f89779,8.880668379718982,8880.0000000005,-8.880668379718985,0.975,253.29737376742972,13347.000000001,1241.7338541666663,WETH,314527.92417852517,253.29737376742972
390.44262461527006,382.59307166024985,0.0,7.849552955020216,2022-12-07 00:00:00,382.59307166024985,4467.0000000005,7.849552955020215,2022-12-12 00:00:00,2022-12-07 00:00:00,1670803200,weekly,y2kUSDT_991* v1 weekly,0.020516714850473745,y2kUSDT_991*,1670976000,1671408000,0x76b1803530a3608bd5f1e4a8bdaf3007d7d2d7fa,7.849552955020214,8880.0000000005,-7.849552955020216,0.991,390.44262461527006,13347.000000001,1241.7338541666663,WETH,484825.8250944682,390.44262461527006
420.8739208353562,414.6319027487216,0.0,6.242018086634581,2022-12-14 00:00:00,414.6319027487216,4467.0000000005,6.24201808663463,2022-12-19 00:00:00,2022-12-14 00:00:00,1671408000,weekly,y2kFRAX_990* v1 weekly,0.015054360374236362,y2kFRAX_990*,1671580800,1672012800,0x51983cb503f407209b456baaa45f0f75e1a865c4,6.242018086634579,8880.0000000005,-6.242018086634581,0.99,420.87392083535616,13347.000000001,1323.6373958333327,WETH,557084.460548675,420.87392083535616
385.2034273229196,378.33422853747885,0.0,6.869198785440671,2022-12-14 00:00:00,378.33422853747885,4467.0000000005,6.869198785440744,2022-12-19 00:00:00,2022-12-14 00:00:00,1671408000,weekly,y2kMIM_975* v1 weekly,0.018156429599285352,y2kMIM_975*,1671580800,1672012800,0xcf86eea7d168f71c15917ad5a46279f1d6f89779,6.86919878544067,8880.0000000005,-6.869198785440671,0.975,385.20342732291954,13347.000000001,1323.6373958333327,WETH,509869.6614077836,385.20342732291954
545.1319602280286,538.0228627580441,0.0,7.109097469984504,2022-12-14 00:00:00,538.0228627580441,4467.0000000005,7.1090974699844764,2022-12-19 00:00:00,2022-12-14 00:00:00,1671408000,weekly,y2kUSDC_997* v1 weekly,0.013213374304469953,y2kUSDC_997*,1671580800,1672012800,0x8b1676f1970859de81025f03c34f01a9ab87d56a,7.109097469984503,8880.0000000005,-7.109097469984504,0.997,545.1319602280286,13347.000000001,1323.6373958333327,WETH,721557.0482217476,545.1319602280286
483.34774075341613,476.7128393041113,0.0,6.634901449304844,2022-12-14 00:00:00,476.71283930411136,4467.0000000005,6.634901449304834,2022-12-19 00:00:00,2022-12-14 00:00:00,1671408000,weekly,y2kDAI_996* v1 weekly,0.013918025490964828,y2kDAI_996*,1671580800,1672012800,0xeaf26d31199771af31dc637843b706078823a3da,6.6349014493048415,8880.0000000005,-6.634901449304844,0.996,483.3477407534162,13347.000000001,1323.6373958333327,WETH,639777.1448527767,483.3477407534162
446.9053386444478,438.3356744320471,0.0,8.569664212400706,2022-12-14 00:00:00,438.33567443204726,4467.0,8.56966421240071,2022-12-19 00:00:00,2022-12-14 00:00:00,1671408000,weekly,y2kUSDT_991* v1 weekly,0.019550460325877962,y2kUSDT_991*,1671580800,1672012800,0x76b1803530a3608bd5f1e4a8bdaf3007d7d2d7fa,8.5696642124007,8880.0000000005,-8.569664212400706,0.991,446.90533864444797,13347.0000000005,1323.6373958333327,WETH,591540.6186273508,446.90533864444797
641.6193077295818,634.460606406255,0.0,7.158701323326647,2022-12-21 00:00:00,634.4606064062549,2233.0000000005,7.158701323326795,2022-12-26 00:00:00,2022-12-21 00:00:00,1672012800,weekly,y2kUSDC_997* v1 weekly,0.011283129718447511,y2kUSDC_997*,1672185600,1672617600,0x8b1676f1970859de81025f03c34f01a9ab87d56a,7.158701323326643,4440.0000000005,-7.158701323326647,0.997,641.6193077295816,6673.000000001,1214.3347569444447,WETH,779140.6261026644,641.6193077295816
510.06704814368754,501.44251114515265,0.0,8.62453699853483,2022-12-21 00:00:00,501.44251114515254,2233.0000000005,8.624536998534893,2022-12-26 00:00:00,2022-12-21 00:00:00,1672012800,weekly,y2kUSDT_991* v1 weekly,0.01719945319123189,y2kUSDT_991*,1672185600,1672617600,0x76b1803530a3608bd5f1e4a8bdaf3007d7d2d7fa,8.624536998534827,4440.0000000005,-8.62453699853483,0.991,510.0670481436874,6673.000000001,1214.3347569444447,WETH,619392.144932935,510.0670481436874
